stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on
YELLAMALAPACHETTY 15 MLD,2023-11-26 01:00:00,7.16,26.51,0.53,2.12,47.55,4.59,3.81,4.61,1.56,-,2023112601
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112601
DODDABELE 20 MLD,2023-11-26 00:45:00,7.2,26.10,0.75,3.40,44.78,7.16,12.82,11.24,4.32,-,2023112601
NAGASANDRA OLD 20 MLD,2023-11-26 00:45:00,7.64,23.70,1.11,1.66,103.16,10.73,55.73,5.44,6.84,-,2023112601
4MLD Cubbon Park TTP,2023-11-26 01:00:00,7.17,27.70,0.71,4.70,17.29,1.2,0.92,5.02,3.55,-,2023112601
KADABEESANAHALLI 50 MLD,2023-11-26 01:00:00,6.79,23.30,0.79,3.55,117.39,7.88,41.28,5.77,3.15,-,2023112601
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112601
Mailasandra STP 75 MLD,2023-11-26 00:45:00,7.51,22.10,7.35,13.23,45.95,8.86,18.29,12.18,-0.39,-,2023112601
60 MLD V.Valley TTP,2023-11-26 00:45:00,6.96,24.10,0.90,2.16,20.04,1.79,3.2,4.51,1.50,-,2023112601
KR Puram STP 20 MLD,2023-11-26 01:00:00,6.93,24.80,2.06,4.12,62.72,7.08,70.01,8.78,3.67,-,2023112601
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112601
35MLD Agaram STP,2023-11-26 01:00:00,7.01,25.00,0.74,3.03,28.74,4.91,4.07,6.31,-,-,2023112601
Chikka_Bagur_5_MLD_STP,2023-11-26 01:00:00,8.08,26.70,2.35,4.70,42.70,6.4,7.6,12.80,-,-,2023112601
Yelahanka 10MLD TTP,2023-11-26 01:00:00,7.43,24.90,1.62,4.59,34.70,9.6,10.3,6.99,3.03,0.21,2023112601
40MLD OLD Rajacanal STP,2023-11-26 01:00:00,7.66,24.00,2.70,8.91,26.00,6.6,7.4,6.50,9.45,1.35,2023112601
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112601
4_MLD_Madiwala_STP,2023-11-26 01:00:00,7.68,25.20,0.37,1.07,34.72,3.49,4.14,8.68,-,-,2023112601
150MLD STP_K&C valley,2023-11-26 00:55:00,6.59,-,2.72,2.91,-,9.89,8.75,-,-,0.88,2023112601
20Mld KR Puram STP New,2023-11-26 00:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112601
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112601
2MLD Ulsoor STP,2023-11-26 01:45:00,7.3,26.20,0.40,2.00,25.55,3.58,4.09,5.11,3.65,-,2023112602
CHIKKABANAVARA 5 MLD,2023-11-26 01:45:00,7.61,23.00,0.37,3.20,28.10,4.46,4.48,12.66,2.96,-,2023112602
KADUGODI 6 MLD STP,2023-11-26 01:45:00,7.71,26.60,0.60,3.22,36.85,7.02,9.17,6.55,3.54,-,2023112602
HORAMAVU 20 MLD,2023-11-26 01:45:00,7.66,28.10,1.02,3.70,63.92,6.53,34.04,0.16,4.08,-,2023112602
K AND C VALLEY 60 MLD,2023-11-26 01:45:00,6.85,26.70,0.63,4.10,38.48,10.03,14.5,8.99,5.23,-,2023112602
NAGASANDRA 20 MLD,2023-11-26 01:45:00,7.68,24.90,1.12,4.48,283.78,0.0,80.81,0.00,3.74,-,2023112602
RAJACANAL 40 MLD,2023-11-26 01:45:00,7.64,26.20,0.87,4.20,28.48,3.51,4.2,8.00,4.18,-,2023112602
YELLAMALAPACHETTY 15 MLD,2023-11-26 02:00:00,7.16,26.53,0.53,2.12,37.77,4.42,3.82,4.61,-0.80,-,2023112602
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112602
DODDABELE 20 MLD,2023-11-26 01:45:00,7.18,26.20,0.76,3.40,44.90,7.15,13.02,11.22,4.31,-,2023112602
NAGASANDRA OLD 20 MLD,2023-11-26 01:45:00,7.2,23.50,0.94,1.41,103.32,11.05,54.92,6.13,7.10,-,2023112602
4MLD Cubbon Park TTP,2023-11-26 02:00:00,7.16,27.70,0.71,4.69,17.29,1.19,0.91,5.01,3.55,-,2023112602
KADABEESANAHALLI 50 MLD,2023-11-26 02:00:00,6.79,23.20,0.79,3.55,117.44,7.88,41.08,5.76,3.15,-,2023112602
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112602
Mailasandra STP 75 MLD,2023-11-26 02:00:00,7.51,22.00,7.35,13.24,45.97,8.88,18.3,12.37,-0.44,-,2023112602
60 MLD V.Valley TTP,2023-11-26 01:45:00,6.96,24.10,0.93,2.23,20.04,1.79,3.2,4.52,1.51,-,2023112602
KR Puram STP 20 MLD,2023-11-26 02:00:00,6.92,24.80,2.13,4.26,63.05,7.62,71.26,8.83,3.68,-,2023112602
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112602
35MLD Agaram STP,2023-11-26 02:00:00,6.98,25.20,0.74,3.03,28.62,4.89,4.07,6.28,-,-,2023112602
Chikka_Bagur_5_MLD_STP,2023-11-26 02:00:00,8.12,26.80,3.20,6.40,42.40,6.3,7.2,12.60,-,-,2023112602
Yelahanka 10MLD TTP,2023-11-26 02:00:00,7.44,24.90,1.52,4.38,34.80,9.8,10.5,6.96,3.02,0.21,2023112602
40MLD OLD Rajacanal STP,2023-11-26 02:00:00,7.66,23.90,2.57,8.48,26.00,6.6,7.4,6.50,8.99,1.28,2023112602
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112602
4_MLD_Madiwala_STP,2023-11-26 02:00:00,7.69,25.10,0.36,1.04,34.70,3.62,4.06,8.68,-,-,2023112602
150MLD STP_K&C valley,2023-11-26 01:55:00,6.5,-,2.72,2.91,-,9.89,8.75,-,-,0.88,2023112602
20Mld KR Puram STP New,2023-11-26 01:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112602
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112602
2MLD Ulsoor STP,2023-11-26 02:45:00,7.3,26.10,0.40,2.00,24.85,3.48,3.98,4.97,3.55,-,2023112603
CHIKKABANAVARA 5 MLD,2023-11-26 02:45:00,7.59,22.90,0.36,3.30,28.08,4.46,4.48,12.77,2.88,-,2023112603
KADUGODI 6 MLD STP,2023-11-26 03:00:00,7.77,26.70,0.60,3.25,36.87,7.02,9.34,6.53,3.54,-,2023112603
HORAMAVU 20 MLD,2023-11-26 02:45:00,7.63,28.10,1.01,3.70,64.41,6.78,33.57,1.63,4.04,-,2023112603
K AND C VALLEY 60 MLD,2023-11-26 02:45:00,6.85,26.60,0.62,4.10,38.44,10.03,14.44,9.09,5.15,-,2023112603
NAGASANDRA 20 MLD,2023-11-26 02:45:00,7.68,24.80,1.10,4.40,293.88,0.0,82.06,0.00,3.73,-,2023112603
RAJACANAL 40 MLD,2023-11-26 02:45:00,7.65,26.20,0.87,4.20,28.49,3.51,4.22,8.00,4.18,-,2023112603
YELLAMALAPACHETTY 15 MLD,2023-11-26 02:45:00,7.13,26.41,0.53,2.11,30.07,4.42,3.53,4.57,1.73,-,2023112603
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112603
DODDABELE 20 MLD,2023-11-26 02:45:00,7.2,26.10,0.75,3.50,44.82,7.14,12.95,11.19,4.32,-,2023112603
NAGASANDRA OLD 20 MLD,2023-11-26 02:45:00,7.7,23.30,1.11,1.66,101.27,10.93,53.8,5.74,7.11,-,2023112603
4MLD Cubbon Park TTP,2023-11-26 03:00:00,7.16,27.70,0.71,4.69,17.30,1.19,0.92,5.02,3.55,-,2023112603
KADABEESANAHALLI 50 MLD,2023-11-26 03:00:00,6.8,23.10,0.78,3.51,116.64,7.8,41.04,5.20,3.12,-,2023112603
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112603
Mailasandra STP 75 MLD,2023-11-26 02:45:00,7.51,21.90,7.35,13.24,45.96,8.89,18.32,12.41,-0.46,-,2023112603
60 MLD V.Valley TTP,2023-11-26 02:45:00,6.96,24.00,0.92,2.21,20.04,1.79,3.2,4.53,1.51,-,2023112603
KR Puram STP 20 MLD,2023-11-26 03:00:00,6.92,24.70,2.10,4.20,63.21,7.66,71.6,8.85,3.68,-,2023112603
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112603
35MLD Agaram STP,2023-11-26 03:00:00,7.27,25.50,0.74,3.03,29.81,5.09,4.07,6.54,-,-,2023112603
Chikka_Bagur_5_MLD_STP,2023-11-26 03:00:00,8.11,26.60,2.71,5.40,42.30,6.1,7.3,12.20,-,-,2023112603
Yelahanka 10MLD TTP,2023-11-26 03:00:00,7.44,24.90,1.40,4.03,34.70,9.7,10.5,6.94,3.03,0.21,2023112603
40MLD OLD Rajacanal STP,2023-11-26 03:00:00,7.67,23.90,2.45,8.09,26.00,6.6,7.3,6.50,8.57,1.23,2023112603
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112603
4_MLD_Madiwala_STP,2023-11-26 03:00:00,7.7,25.10,0.36,1.04,34.63,3.29,4.02,8.66,-,-,2023112603
150MLD STP_K&C valley,2023-11-26 02:55:00,6.5,-,2.72,2.91,-,9.89,8.75,-,-,0.88,2023112603
20Mld KR Puram STP New,2023-11-26 02:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112603
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112603
2MLD Ulsoor STP,2023-11-26 03:45:00,7.3,26.10,0.41,2.05,24.71,3.46,3.95,4.94,3.53,-,2023112604
CHIKKABANAVARA 5 MLD,2023-11-26 03:45:00,7.6,23.00,0.37,3.30,28.10,4.45,4.48,12.54,2.96,-,2023112604
KADUGODI 6 MLD STP,2023-11-26 04:00:00,7.78,26.80,0.60,3.27,37.45,7.05,12.41,6.56,3.54,-,2023112604
HORAMAVU 20 MLD,2023-11-26 04:00:00,7.64,28.20,1.02,3.60,65.92,6.66,35.82,0.42,4.08,-,2023112604
K AND C VALLEY 60 MLD,2023-11-26 03:45:00,6.84,26.60,0.62,4.00,38.36,10.07,14.22,9.06,5.15,-,2023112604
NAGASANDRA 20 MLD,2023-11-26 03:45:00,7.69,24.70,1.10,4.40,295.54,0.0,81.94,0.00,3.71,-,2023112604
RAJACANAL 40 MLD,2023-11-26 03:45:00,7.65,26.10,0.87,4.10,28.43,3.51,4.12,8.02,4.18,-,2023112604
YELLAMALAPACHETTY 15 MLD,2023-11-26 04:00:00,7.15,26.47,0.53,2.12,27.69,4.45,3.48,4.61,-0.78,-,2023112604
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112604
DODDABELE 20 MLD,2023-11-26 03:45:00,7.22,26.00,0.74,3.50,45.08,7.17,13.3,11.18,4.33,-,2023112604
NAGASANDRA OLD 20 MLD,2023-11-26 03:45:00,7.64,23.20,1.13,1.69,101.98,10.99,53.29,5.75,7.21,-,2023112604
4MLD Cubbon Park TTP,2023-11-26 04:00:00,7.16,27.60,0.71,4.69,17.29,1.19,0.91,5.01,3.55,-,2023112604
KADABEESANAHALLI 50 MLD,2023-11-26 04:00:00,6.8,23.00,0.78,3.53,115.59,7.84,40.43,5.26,3.14,-,2023112604
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112604
Mailasandra STP 75 MLD,2023-11-26 04:00:00,7.51,21.80,7.35,13.24,45.96,8.89,18.32,12.54,-0.46,-,2023112604
60 MLD V.Valley TTP,2023-11-26 03:45:00,6.96,24.00,0.91,2.18,20.04,1.79,3.2,4.51,1.51,-,2023112604
KR Puram STP 20 MLD,2023-11-26 04:00:00,6.91,24.60,2.13,4.26,63.25,6.65,71.38,8.86,3.68,-,2023112604
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112604
35MLD Agaram STP,2023-11-26 04:00:00,7.33,25.40,0.74,3.03,30.05,5.13,4.07,6.60,-,-,2023112604
Chikka_Bagur_5_MLD_STP,2023-11-26 04:00:00,8.06,26.60,2.53,5.10,42.80,6.2,8.0,12.40,-,-,2023112604
Yelahanka 10MLD TTP,2023-11-26 04:00:00,7.44,24.80,1.29,3.70,35.10,9.8,10.5,7.01,3.03,0.21,2023112604
40MLD OLD Rajacanal STP,2023-11-26 04:00:00,7.67,23.90,2.37,7.82,26.10,6.6,7.4,6.53,8.30,1.18,2023112604
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112604
4_MLD_Madiwala_STP,2023-11-26 04:00:00,7.7,25.00,0.37,1.07,34.64,3.39,4.04,8.66,-,-,2023112604
150MLD STP_K&C valley,2023-11-26 03:55:00,6.56,-,2.71,2.91,-,9.89,8.75,-,-,0.88,2023112604
20Mld KR Puram STP New,2023-11-26 03:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112604
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112604
2MLD Ulsoor STP,2023-11-26 04:45:00,7.29,26.00,0.40,2.00,23.94,3.35,3.83,4.79,3.42,-,2023112605
CHIKKABANAVARA 5 MLD,2023-11-26 04:45:00,7.58,23.00,0.37,3.30,28.16,4.46,4.49,12.81,2.96,-,2023112605
KADUGODI 6 MLD STP,2023-11-26 05:00:00,7.72,26.60,0.60,3.25,36.91,7.03,9.28,6.54,3.54,-,2023112605
HORAMAVU 20 MLD,2023-11-26 05:00:00,7.64,27.90,1.01,3.70,66.08,6.73,35.54,0.82,4.04,-,2023112605
K AND C VALLEY 60 MLD,2023-11-26 04:45:00,6.84,26.60,0.61,4.00,39.73,10.02,16.63,8.84,5.06,-,2023112605
NAGASANDRA 20 MLD,2023-11-26 04:45:00,7.69,24.50,1.04,4.16,295.85,0.0,81.93,0.00,3.68,-,2023112605
RAJACANAL 40 MLD,2023-11-26 04:45:00,7.65,26.10,0.88,4.10,28.42,3.52,4.11,8.02,4.22,-,2023112605
YELLAMALAPACHETTY 15 MLD,2023-11-26 05:00:00,7.11,26.34,0.53,2.11,41.82,4.44,3.87,4.59,2.26,-,2023112605
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112605
DODDABELE 20 MLD,2023-11-26 04:45:00,7.24,26.00,0.73,3.50,45.07,7.19,13.23,11.22,4.34,-,2023112605
NAGASANDRA OLD 20 MLD,2023-11-26 04:45:00,7.27,23.20,1.04,1.56,101.29,11.01,53.05,5.21,7.16,-,2023112605
4MLD Cubbon Park TTP,2023-11-26 05:00:00,7.17,27.60,0.71,4.69,17.29,1.19,0.92,5.01,3.55,-,2023112605
KADABEESANAHALLI 50 MLD,2023-11-26 05:00:00,6.8,22.80,0.79,3.54,117.08,7.88,41.06,6.23,3.15,-,2023112605
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112605
Mailasandra STP 75 MLD,2023-11-26 04:45:00,7.51,21.80,7.35,13.24,45.97,8.91,18.32,12.46,-0.46,-,2023112605
60 MLD V.Valley TTP,2023-11-26 04:45:00,6.96,24.00,0.92,2.21,20.04,1.8,3.2,4.53,1.51,-,2023112605
KR Puram STP 20 MLD,2023-11-26 05:00:00,6.92,24.50,2.11,4.22,63.24,6.83,71.13,8.85,3.69,-,2023112605
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112605
35MLD Agaram STP,2023-11-26 05:00:00,7.16,25.10,0.72,2.95,29.36,5.01,3.96,6.44,-,-,2023112605
Chikka_Bagur_5_MLD_STP,2023-11-26 05:00:00,8.14,26.70,3.07,6.10,42.40,6.3,7.2,12.60,-,-,2023112605
Yelahanka 10MLD TTP,2023-11-26 05:00:00,7.44,24.70,1.21,3.47,35.20,9.5,10.2,7.02,3.04,0.21,2023112605
40MLD OLD Rajacanal STP,2023-11-26 05:00:00,7.67,23.80,2.36,7.79,26.00,6.6,7.4,6.50,8.26,1.18,2023112605
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112605
4_MLD_Madiwala_STP,2023-11-26 05:00:00,7.69,24.90,0.37,1.07,34.64,3.25,4.03,8.66,-,-,2023112605
150MLD STP_K&C valley,2023-11-26 04:55:00,6.56,-,2.72,2.91,-,9.89,8.75,-,-,0.90,2023112605
20Mld KR Puram STP New,2023-11-26 04:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112605
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112605
2MLD Ulsoor STP,2023-11-26 05:45:00,7.29,25.90,0.40,2.00,23.45,3.28,3.75,4.69,3.35,-,2023112606
CHIKKABANAVARA 5 MLD,2023-11-26 05:45:00,7.61,23.00,0.37,3.30,28.12,4.46,4.48,12.60,2.96,-,2023112606
KADUGODI 6 MLD STP,2023-11-26 06:00:00,7.77,26.60,0.60,3.24,36.91,7.02,9.41,6.53,3.54,-,2023112606
HORAMAVU 20 MLD,2023-11-26 05:45:00,7.64,28.00,1.00,3.60,66.24,6.72,36.0,0.00,4.00,-,2023112606
K AND C VALLEY 60 MLD,2023-11-26 05:45:00,6.84,26.50,0.60,4.00,37.90,10.04,13.78,9.08,4.98,-,2023112606
NAGASANDRA 20 MLD,2023-11-26 05:45:00,7.69,24.40,1.05,4.20,295.75,0.0,81.98,0.00,3.66,-,2023112606
RAJACANAL 40 MLD,2023-11-26 05:45:00,7.65,26.10,0.87,4.20,28.42,3.52,4.12,8.02,4.18,-,2023112606
YELLAMALAPACHETTY 15 MLD,2023-11-26 06:00:00,7.11,26.32,0.53,2.11,40.05,4.41,3.88,4.58,-0.09,-,2023112606
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112606
DODDABELE 20 MLD,2023-11-26 05:45:00,7.24,25.80,0.74,3.60,45.01,7.23,13.21,11.40,4.34,-,2023112606
NAGASANDRA OLD 20 MLD,2023-11-26 05:45:00,7.13,23.60,0.83,1.25,109.45,10.58,61.53,4.77,1.42,-,2023112606
4MLD Cubbon Park TTP,2023-11-26 06:00:00,7.17,27.60,0.71,4.69,17.29,1.19,0.92,5.01,3.55,-,2023112606
KADABEESANAHALLI 50 MLD,2023-11-26 06:00:00,6.81,22.70,0.80,3.59,117.15,7.99,40.66,5.97,3.19,-,2023112606
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112606
Mailasandra STP 75 MLD,2023-11-26 06:00:00,7.51,21.70,7.35,13.24,45.96,8.9,18.33,12.58,-0.46,-,2023112606
60 MLD V.Valley TTP,2023-11-26 05:45:00,6.95,23.90,0.90,2.16,20.04,1.79,3.2,4.52,1.51,-,2023112606
KR Puram STP 20 MLD,2023-11-26 06:00:00,6.92,24.40,2.06,4.12,63.92,7.16,72.19,8.95,3.70,-,2023112606
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112606
35MLD Agaram STP,2023-11-26 06:00:00,7.26,25.40,0.74,3.03,29.77,5.08,4.07,6.53,-,-,2023112606
Chikka_Bagur_5_MLD_STP,2023-11-26 06:00:00,8.12,26.60,2.53,5.10,42.40,6.0,7.5,12.00,-,-,2023112606
Yelahanka 10MLD TTP,2023-11-26 06:00:00,7.44,24.60,1.12,3.22,35.00,9.6,10.4,7.02,3.05,0.21,2023112606
40MLD OLD Rajacanal STP,2023-11-26 06:00:00,7.68,23.80,2.34,7.72,26.00,6.6,7.4,6.50,8.19,1.17,2023112606
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112606
4_MLD_Madiwala_STP,2023-11-26 06:00:00,7.7,24.90,0.37,1.07,34.64,3.27,4.03,8.66,-,-,2023112606
150MLD STP_K&C valley,2023-11-26 05:55:00,6.56,-,2.70,2.91,-,9.89,8.75,-,-,0.88,2023112606
20Mld KR Puram STP New,2023-11-26 05:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112606
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112606
2MLD Ulsoor STP,2023-11-26 06:45:00,7.29,25.80,0.39,1.95,22.40,3.14,3.58,4.48,3.20,-,2023112607
CHIKKABANAVARA 5 MLD,2023-11-26 06:45:00,7.63,23.10,0.37,3.30,28.13,4.47,4.48,12.79,2.96,-,2023112607
KADUGODI 6 MLD STP,2023-11-26 06:45:00,7.76,26.60,0.60,3.23,36.90,7.02,9.22,6.55,3.54,-,2023112607
HORAMAVU 20 MLD,2023-11-26 07:00:00,7.61,28.00,1.01,3.70,65.83,7.07,34.45,1.62,4.04,-,2023112607
K AND C VALLEY 60 MLD,2023-11-26 06:45:00,6.84,26.50,0.60,4.00,38.01,10.07,14.09,9.25,4.98,-,2023112607
NAGASANDRA 20 MLD,2023-11-26 06:45:00,7.7,24.30,0.99,3.96,294.55,0.0,81.57,0.00,3.64,-,2023112607
RAJACANAL 40 MLD,2023-11-26 06:45:00,7.64,26.00,0.86,4.20,28.42,3.52,4.13,8.01,4.13,-,2023112607
YELLAMALAPACHETTY 15 MLD,2023-11-26 07:00:00,7.12,26.36,0.53,2.11,40.48,4.43,3.86,4.58,-0.57,-,2023112607
BELLANDUR 90 MLD,2023-11-25 10:30:00,7.81,26.40,0.57,1.60,27.54,4.54,9.64,5.51,3.19,-,2023112607
DODDABELE 20 MLD,2023-11-26 06:45:00,7.24,25.70,0.73,3.60,44.91,7.23,13.02,11.40,4.34,-,2023112607
NAGASANDRA OLD 20 MLD,2023-11-26 06:45:00,7.11,23.60,0.84,1.26,108.13,10.48,65.6,4.68,2.62,-,2023112607
4MLD Cubbon Park TTP,2023-11-26 07:00:00,7.17,27.50,0.71,4.69,17.29,1.19,0.92,5.01,3.55,-,2023112607
KADABEESANAHALLI 50 MLD,2023-11-26 07:00:00,6.81,22.60,0.79,3.57,117.52,7.94,40.33,7.02,3.18,-,2023112607
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112607
Mailasandra STP 75 MLD,2023-11-26 06:45:00,7.51,21.70,7.35,13.24,45.96,8.9,18.34,12.72,-0.46,-,2023112607
60 MLD V.Valley TTP,2023-11-26 06:45:00,6.95,23.90,0.90,2.16,20.04,1.79,3.2,4.51,1.51,-,2023112607
KR Puram STP 20 MLD,2023-11-26 07:00:00,6.91,24.20,2.10,4.20,63.77,6.93,72.59,8.93,3.71,-,2023112607
1.5 MLD Lalbagh TTP,2023-11-25 19:30:00,7.33,26.30,0.70,3.50,18.19,1.42,1.03,5.07,2.99,-,2023112607
35MLD Agaram STP,2023-11-26 07:00:00,7.26,25.20,0.75,3.08,29.77,5.08,4.12,6.53,-,-,2023112607
Chikka_Bagur_5_MLD_STP,2023-11-26 07:00:00,8.04,26.60,2.42,4.80,42.00,6.0,7.0,12.00,-,-,2023112607
Yelahanka 10MLD TTP,2023-11-26 07:00:00,7.44,24.50,1.08,3.04,35.40,9.7,10.5,7.08,3.05,0.21,2023112607
40MLD OLD Rajacanal STP,2023-11-26 07:00:00,7.69,23.70,2.41,7.95,26.10,6.6,7.4,6.53,8.44,1.21,2023112607
Hennur 1MLD TTP,2023-11-24 20:30:00,7.61,26.80,1.23,1.85,23.00,3.5,5.0,5.15,4.09,0.25,2023112607
4_MLD_Madiwala_STP,2023-11-26 07:00:00,7.7,24.80,0.37,1.07,34.63,3.37,4.0,8.66,-,-,2023112607
150MLD STP_K&C valley,2023-11-26 06:55:00,6.59,-,2.71,2.91,-,9.89,8.75,-,-,0.90,2023112607
20Mld KR Puram STP New,2023-11-26 06:45:00,0.0,-,0.00,0.00,0.00,0.0,0.0,0.00,-,-,2023112607
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023112607
2MLD Ulsoor STP,2023-11-26 07:45:00,7.29,25.80,0.38,1.90,21.77,3.05,3.48,4.35,3.11,-,2023112608
CHIKKABANAVARA 5 MLD,2023-11-26 07:45:00,7.63,23.00,0.37,3.30,28.12,4.45,4.48,12.66,2.96,-,2023112608
KADUGODI 6 MLD STP,2023-11-26 08:00:00,7.72,26.50,0.60,3.23,36.88,7.03,9.12,6.54,3.54,-,2023112608
HORAMAVU 20 MLD,2023-11-26 07:45:00,7.65,28.00,1.00,3.60,-,-,35.77,3.22,4.00,-,2023112608
K AND C VALLEY 60 MLD,2023-11-26 07:45:00,6.83,26.50,0.59,4.00,37.98,10.04,14.25,8.93,4.90,-,2023112608
NAGASANDRA 20 MLD,2023-11-26 07:45:00,7.7,24.10,1.04,4.16,293.69,0.00,81.21,0.00,3.63,-,2023112608
RAJACANAL 40 MLD,2023-11-26 07:45:00,7.65,26.00,0.86,4.20,28.45,3.52,4.14,8.02,4.13,-,2023112608
YELLAMALAPACHETTY 15 MLD,2023-11-26 08:00:00,7.09,26.25,0.52,2.10,47.68,4.47,3.95,4.60,2.03,-,2023112608
BELLANDUR 90 MLD,2023-11-26 07:45:00,7.84,25.90,0.53,1.60,27.70,4.34,11.67,5.54,2.97,-,2023112608
DODDABELE 20 MLD,2023-11-26 07:45:00,7.25,25.70,0.73,3.60,44.93,7.24,13.01,11.41,4.35,-,2023112608
NAGASANDRA OLD 20 MLD,2023-11-26 07:45:00,7.11,23.40,0.99,1.49,114.05,12.16,64.56,6.23,1.92,-,2023112608
4MLD Cubbon Park TTP,2023-11-26 08:00:00,7.17,27.50,0.71,4.69,17.29,1.19,0.92,5.02,3.55,-,2023112608
KADABEESANAHALLI 50 MLD,2023-11-26 08:00:00,6.81,22.80,0.79,3.53,115.07,7.85,39.76,5.24,3.14,-,2023112608
STP Sarakki 5 MLD,2023-11-25 09:45:00,7.96,26.90,0.67,1.34,18.73,4.85,5.77,3.75,-,-,2023112608
Mailasandra STP 75 MLD,2023-11-26 08:00:00,7.5,21.70,7.35,13.23,45.95,8.89,18.34,12.62,-0.45,-,2023112608
